short_question,short_answer,tags,label,answer_length,question_length
is hearing lose covered by most ins,how long have you been off i was on birth control for 4 years and got of and got pregnant a week later just depends on how fast your body can get the medicine out of your system because you have been on it so long hope this helps,[''],-1.0,229,35
does exercise help cognitive function,maybe with in vitro fertilization but you will need to speak to a fertility specialist,['exercise'],-1.0,86,37
typhoid attacks …fever…bad health,to label you as suffering from typhoid u need to have fever above 100 f continuiosly for 7 to 10 days the feeling of bad health is due to generalised weakness u have due to frequent illness raise ur immunity  take immune boosters  vitamin and calcium supplements eat healthy and do exercises thanks,['typhoid'],1.0,298,33
can a vaginal ultrasound detect a std,hi no you need to do an std test get to an stdgum clinic its about the best place you can go the staff will be helpful to you do hope this helps good luck,['vagina' 'ultrasound' 'sexually transmitted disease'],1.0,154,37
hiv and aids,please be respectful of this wonderful webmd medical site do not post advertising this takes up valuable space for people who have real medical concerns thank you,['hiv and aids testing'],-1.0,162,12
who performs pediatric epilepsy surgery,if you have a genital form of herpes and it was properly diagnosed recurrent outbreaks can happen and they are likely to be in the same place typically subsequent outbreaks could be less severe but it will not likely be just a cold sore,['epilepsy' 'surgery'],-1.0,236,39
i have chronic shortness of breath,it will show up as an amphetamine,['i have chronic shortness of breath.'],-1.0,33,34
what could cause severe groin pain,hi this pain does not seem to be related to the old surgeries that you have had enlarged lymph nodes iliopsoas muscle strain seem to be the possibilities get a xray and ultrasound of hip done thanks,['groin pain'],1.0,198,34
is avinza a narcotic medication,avinza is the extended release formulation of morphine sulfate due to the addictive properties associated with this medication it is classified as a narcotic or schedule ii medication,['morphine' 'narcotic' 'drug'],1.0,183,31
is it good to use a loofah on your face,loofah is a plant sponge harvested and dried for use in cosmetics many people use it in skin care for its exfoliating effects if you are using a loofah for the first time you should not use it more than once or twice a day to be sure your skin does not get irritated,[''],1.0,266,39
urine is dark yellow…what is my problem,it is highly highly unlikely that you could become pregnant after a tubal ligation especially if you are using condoms as well,['urine problems'],-1.0,126,39
how do i stop the spread of lice,yes this is sever medical negligence repair surgery should have been done immediately,['lice'],-1.0,85,32
what is ringworm of the scalp,yes you can 2 ibuprofen every 4 to 6 hours as needed,['ringworm' 'scalp'],-1.0,52,29
can i take claritin for scratchy throat,claritin is an antihistamine that may help a scratchy throat caused by allergy i do not know anything about you to know if you can take this type of medication so check with your medical provider if you have any medical problems where this drug would be contraindicated,['throat'],1.0,269,39
how are migraine headaches treated,a drug that controls nausea and vomiting emesis,['migraine' 'headache'],-1.0,47,34
what are the complications of diarrhea,not likely but take a test in about 2 weeks,['diarrhea'],-1.0,43,38
what conditions are not dementia,maybe but you will need to be carefully examined some cysts will spontaneous drain or rupture some may become secondarily infected and some may require surgical intervention,['dementia'],-1.0,173,32
how does botox help migraine headaches,he needs to see a good psychiatrist or psychologist this may not be an easy problem to solve but it will take his cooperation a combination of carefully prescribed medications may help along with some proactive family therapy do not give up on him this can be solved,['migraine' 'headache'],-1.0,266,38
are supplements helpful for arthritis,this happened to me go to nose ear and throat doc may have fluid trapped in the inner ear,['arthritis'],-1.0,89,37
will flagyl treat chlamydia,hi your find that the cdc recommends treatment with 2 g metronidazole flagyl orally in a single dose plus 500 mg erythromycin base orally four times per day for seven days do hope this helps you good luck,['chlamydia'],1.0,204,27
fluttering sensation in ears,in my opinion this is caused mainly by the side effects of psychiatric medications and he could be suffering bacterial infection causing the bad smell sweat,['ears'],-1.0,156,28
can lisinopril cause bursitis,no this is not a calcium deficiency probably it is prepatellar bursitis the symptoms of calcium deficiency will not be confined to one knee and it is unusual in young persons for further information consult an orthopaedician and traumatologist online   > <link>,['bursitis'],-1.0,261,29
my son has syndrome aicardi–goutières,you can use these medicines but try and use as minimum dose as possible to avoid later side effects get regular checkups done consult a pediatric neurologist thanks,['syndrome aicardi–goutières'],1.0,164,37
can vulvar cancer lead to breast cancer,these are two very different types of cancer one does not lead to the other,['vulvar cancer' 'breast cancer'],1.0,75,39
i have chronic shortness of breath,hi this can be due to onset of bronchial asthma get a spirometry and a chest xray done take bronchodilators deep breathing exercises will be helpful thanks,['i have chronic shortness of breath.'],1.0,155,34
what causes infertility in men,it is most likely an irritant reaction and will go away if you have recurrent irritation you can undergo testing to evaluate for sensitivities to various components of personal care products,['infertility'],-1.0,190,30
